POA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA5717,0,0,5,0,4,4,0,0,0,17,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5719,4,5,3,3,3,0,4,0,0,22,5,9,5,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5720,3,15,25,23,28,17,4,0,0,123,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,3,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5722,0,0,11,9,15,12,9,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA5723,15,32,107,74,49,73,25,7,0,381,4,5,4,3,0,0,0,0,0,14,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,3,3,6,0,26,3,5,13,10,11,8,3,0,0,49,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,6,0,0,10,7,5,6,3,0,0,26,0,6,13,5,9,5,5,0,0,38,0,0,17,13,9,13,11,0,0,65,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,8
POA5724,0,0,10,3,3,5,3,0,0,30,0,0,8,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5725,45,101,368,367,256,175,19,0,0,1331,0,0,0,0,0,0,0,0,0,0,8,37,121,90,49,27,0,0,0,326,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,6,14,10,12,3,0,0,0,48,0,0,0,5,0,0,0,0,0,12,8,4,17,15,10,8,0,0,0,57,19,8,31,11,11,11,0,0,0,92,0,4,5,4,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,0,0,4,4,5,4,0,0,0,23,0,0,0,4,6,0,0,0,0,9,0,8,16,16,11,11,3,0,0,64,0,0,9,10,4,0,0,0,0,27,3,8,37,33,18,9,0,0,0,99,4,5,23,20,10,11,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,15
POA5730,0,4,6,3,9,9,4,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
POA5731,3,3,13,16,9,18,4,0,0,64,0,5,5,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,0,4,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5732,0,0,6,4,9,3,5,0,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA5733,0,0,9,4,4,5,3,0,0,30,0,0,3,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5734,0,0,7,3,9,7,4,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6000,44,472,1932,1165,555,383,108,14,0,4684,0,0,5,0,0,5,0,0,0,9,5,15,79,46,36,11,0,0,0,187,0,4,35,10,11,9,3,0,0,69,0,0,16,6,5,0,0,0,0,25,0,17,25,16,3,10,0,0,0,72,0,7,14,4,3,3,0,0,0,36,16,47,106,43,25,15,9,0,0,255,39,144,259,103,32,12,3,0,0,592,0,0,13,10,8,8,0,0,0,36,0,3,20,13,6,0,0,0,0,55,0,7,64,34,11,7,0,0,0,130,0,5,16,16,5,3,6,0,0,51,0,45,250,119,46,27,6,0,0,493,0,23,86,36,14,15,0,0,0,175,4,19,87,51,36,20,3,0,0,222,3,23,101,69,30,31,5,0,0,275,3,60,328,136,67,55,20,4,0,675,0,19,42,21,17,8,6,0,0,110,0,18,43,32,11,15,3,0,0,119
POA6003,12,107,523,307,163,97,36,5,0,1262,0,0,3,0,0,0,0,0,0,5,0,7,19,12,8,6,0,0,0,50,0,0,10,5,0,0,0,0,0,21,0,0,9,0,5,0,0,0,0,12,0,3,12,6,3,0,0,0,0,23,0,0,6,3,0,0,0,0,0,12,3,26,35,13,10,9,0,0,0,102,11,32,75,23,7,0,5,0,0,162,0,0,3,5,0,5,0,0,0,18,0,4,3,4,4,0,0,0,0,15,0,0,20,8,3,0,0,0,0,35,0,0,5,0,0,0,0,0,0,11,0,10,54,35,14,7,0,0,0,123,0,10,23,6,8,0,0,0,0,46,0,7,30,25,12,11,0,0,0,87,0,10,28,22,9,13,3,0,0,86,0,22,104,29,18,12,4,0,0,190,0,5,16,0,0,0,0,0,0,24,0,6,18,12,0,5,0,0,0,35
POA6004,48,314,1401,963,518,466,175,37,3,3928,0,0,4,0,0,0,0,0,0,8,0,19,89,59,22,11,0,0,0,203,0,0,26,31,14,5,0,0,0,77,0,0,9,9,0,0,0,0,0,21,0,11,42,17,17,7,5,0,0,99,0,0,14,10,13,3,4,0,0,39,17,43,70,33,20,20,0,0,0,205,25,100,190,63,31,20,7,0,0,438,0,8,20,15,7,9,0,0,0,57,0,0,9,3,3,3,0,0,0,24,0,9,55,31,19,16,0,0,0,137,0,3,25,14,10,5,0,0,0,57,0,29,189,99,42,39,15,6,0,416,0,18,55,17,21,6,8,0,0,122,0,16,60,30,41,35,9,0,0,190,3,20,105,47,40,50,17,0,0,276,6,34,242,98,93,88,21,0,0,581,0,11,37,9,5,5,0,0,0,65,3,18,40,20,14,10,4,0,0,112
POA6005,13,140,828,522,234,195,75,8,0,2021,0,0,5,0,0,0,0,0,0,11,0,10,46,44,18,6,0,0,0,130,0,4,8,7,3,5,0,0,0,34,0,0,10,7,3,0,0,0,0,23,0,0,19,13,6,0,0,0,0,37,0,0,9,0,0,5,0,0,0,16,16,36,40,17,14,11,3,0,0,144,4,47,82,23,12,5,0,0,0,179,0,0,17,8,3,4,0,0,0,29,0,3,5,0,3,0,0,0,0,15,0,0,24,14,10,13,0,0,0,71,0,3,9,10,6,0,6,0,0,24,4,21,125,65,28,23,3,0,0,266,0,7,38,20,6,8,0,0,0,80,0,5,43,25,21,13,4,0,0,122,4,14,54,33,25,18,9,0,0,163,3,24,189,87,38,31,7,0,0,394,0,15,18,8,4,4,0,0,0,51,0,7,29,10,5,3,6,0,0,49
POA6006,99,197,745,706,508,420,132,22,0,2822,0,0,8,0,0,5,0,0,0,15,0,4,39,45,25,6,0,0,0,123,6,11,12,16,12,4,0,0,0,60,0,0,6,13,5,5,0,0,0,32,0,4,25,17,12,6,0,0,0,64,0,0,7,14,9,5,0,0,0,35,29,50,43,29,35,20,4,0,0,217,35,57,61,30,11,7,5,0,0,201,0,0,6,7,11,5,0,0,0,34,0,4,9,6,6,4,0,0,0,36,0,7,18,27,20,14,0,0,0,86,0,0,15,14,13,6,4,0,0,48,0,30,110,87,64,28,19,0,0,340,0,5,16,22,14,18,5,0,0,80,0,10,54,53,44,33,4,0,0,205,3,24,77,80,92,81,18,3,0,381,0,55,183,127,105,72,19,3,0,568,6,10,24,25,13,5,0,0,0,80,4,13,22,27,21,21,5,0,0,109
POA6007,60,163,731,611,410,291,123,10,0,2403,0,0,0,0,0,0,0,0,0,6,0,10,52,39,30,9,0,0,0,142,3,4,17,14,12,5,4,0,0,57,0,0,11,3,11,4,0,0,0,31,0,8,21,13,5,0,0,0,0,47,0,3,10,8,7,9,0,0,0,38,26,40,35,25,28,17,4,0,0,168,28,34,50,10,16,0,4,0,0,148,0,0,0,8,3,5,0,0,0,24,0,3,12,4,6,0,0,0,0,26,0,8,26,18,11,7,3,0,0,71,0,0,9,7,3,8,5,0,0,38,0,25,123,85,53,36,0,0,0,328,0,4,20,16,13,5,4,0,0,62,0,6,39,45,35,25,8,0,0,168,0,8,69,67,55,57,17,5,0,279,0,39,232,122,100,89,32,4,0,618,3,3,18,11,4,4,0,0,0,50,4,15,29,18,19,5,7,0,0,94
POA6008,170,306,995,950,812,659,317,57,5,4266,0,0,3,3,0,3,6,0,0,15,0,8,61,68,56,20,3,0,0,224,13,3,9,17,18,17,3,0,0,91,0,0,19,10,4,5,0,0,0,39,0,5,16,25,20,6,3,0,0,83,0,5,8,16,10,5,0,0,0,49,52,66,70,29,40,31,14,6,0,291,71,62,44,21,14,12,12,0,0,236,0,4,7,10,9,13,5,0,0,40,0,5,13,8,6,14,4,0,0,48,0,6,27,35,24,29,9,3,0,120,0,3,7,11,12,15,7,4,0,65,3,45,197,155,144,71,28,0,0,639,0,9,24,8,22,12,0,3,0,85,0,13,46,56,48,47,9,3,0,227,13,37,104,105,150,130,65,6,0,611,6,89,351,242,203,175,72,4,0,1151,7,20,25,16,15,11,4,0,0,96,8,14,18,31,22,12,7,0,0,121
POA6009,337,641,728,801,935,738,438,119,9,4743,0,0,3,0,0,5,0,0,0,13,0,10,23,44,48,7,0,0,0,138,14,11,10,10,16,11,5,6,0,71,0,3,5,18,8,4,0,0,0,38,9,5,10,10,25,11,3,0,0,71,3,6,8,10,20,9,3,0,0,48,102,108,36,30,42,33,14,4,0,360,127,161,46,24,10,5,7,0,0,393,0,0,0,3,9,3,0,0,0,28,0,7,11,4,4,0,0,5,0,36,0,8,13,24,28,16,8,4,0,107,4,7,8,14,21,24,15,4,0,97,4,71,96,111,108,77,38,5,0,514,0,9,8,21,17,17,9,4,0,79,0,10,26,33,51,47,8,0,0,176,44,98,109,118,135,135,52,7,0,697,29,109,202,237,275,191,87,9,0,1143,22,29,14,7,11,14,0,4,0,92,22,26,22,12,14,15,11,0,0,119
POA6010,300,409,811,812,1023,768,409,108,8,4647,0,0,6,3,9,9,7,0,0,26,0,3,52,60,45,21,0,0,0,190,6,6,14,16,16,10,0,0,0,69,0,0,4,3,5,5,0,0,0,24,3,6,12,20,22,22,7,0,0,92,0,6,11,16,24,8,4,0,0,69,86,77,36,29,63,50,15,0,0,368,82,73,33,18,27,12,4,4,0,252,0,4,0,14,21,13,0,0,0,53,0,0,7,4,7,0,0,0,0,26,5,4,19,38,37,17,10,0,0,126,0,6,20,25,30,20,10,0,0,110,4,56,112,134,152,80,25,10,0,574,0,8,13,13,23,12,5,0,0,76,0,16,45,46,50,36,16,4,0,221,31,38,74,116,181,160,61,8,0,665,17,87,239,189,266,213,86,15,0,1109,15,11,16,15,23,12,3,0,0,105,14,9,21,30,25,28,7,5,0,138
POA6011,136,210,409,393,529,510,270,61,0,2523,7,0,4,6,0,0,10,0,0,29,0,6,26,25,21,3,0,0,0,81,3,10,5,11,13,9,7,0,0,53,0,0,6,4,0,4,0,0,0,10,0,0,14,17,6,10,5,0,0,53,0,0,5,0,13,4,0,0,0,16,39,31,16,29,36,28,10,0,0,181,53,33,17,10,12,7,0,0,0,134,4,4,4,3,3,0,4,0,0,27,0,4,4,3,3,0,3,0,0,30,0,4,7,18,21,22,16,0,0,82,6,6,14,11,23,25,5,5,0,98,0,24,62,59,81,41,24,0,0,298,0,7,13,6,6,7,0,0,0,42,0,0,17,9,19,13,9,0,0,69,24,19,48,31,75,80,27,3,0,301,3,47,123,87,136,115,31,0,0,548,11,12,13,7,6,8,0,0,0,44,14,14,12,11,6,6,0,0,0,68
POA6012,91,200,369,475,537,385,183,42,0,2284,0,3,0,0,0,3,3,0,0,14,0,7,21,25,21,5,0,0,0,78,13,4,0,12,16,3,6,0,0,51,0,0,6,4,5,0,0,0,0,15,6,0,13,9,18,5,5,0,0,42,0,0,9,3,5,7,4,6,0,30,44,31,33,30,17,12,5,4,0,179,51,43,26,12,10,9,3,0,0,173,0,0,0,4,13,4,0,0,0,18,0,4,0,8,0,0,0,0,0,19,0,4,9,14,17,4,4,0,0,52,0,3,9,4,11,15,8,7,0,51,0,21,57,54,49,43,15,0,0,238,0,7,17,14,14,3,0,0,0,60,0,3,14,31,28,23,4,0,0,104,18,30,35,67,106,78,15,3,0,348,7,30,127,118,124,97,28,0,0,530,6,10,6,5,10,0,0,0,0,37,9,23,12,13,25,8,4,0,0,93
POA6014,338,452,1065,1395,1370,935,296,41,16,5899,0,0,0,0,3,5,0,0,0,8,0,6,52,82,57,20,5,0,0,223,19,11,15,24,14,14,7,3,0,98,0,0,8,18,10,4,0,0,0,45,0,13,33,49,34,32,6,5,0,170,0,4,15,24,13,9,0,0,0,63,89,91,63,58,51,45,19,0,0,421,115,76,67,30,26,7,0,0,0,322,0,3,16,14,19,12,4,0,0,75,4,4,13,9,21,13,0,0,0,55,0,7,38,51,47,24,4,0,0,176,0,6,19,18,18,16,4,0,0,77,5,52,144,195,173,90,22,0,0,671,5,14,84,66,30,28,6,0,0,230,6,7,51,83,84,53,9,0,0,289,23,45,113,150,237,179,52,7,0,802,26,109,358,377,372,247,72,4,0,1571,25,15,27,22,20,14,4,6,0,123,12,28,26,36,33,29,10,3,0,164
POA6015,109,150,176,232,473,401,139,40,12,1724,0,0,0,0,3,0,0,0,0,10,0,0,3,31,12,6,0,0,0,50,8,0,3,5,6,3,0,0,0,37,0,0,0,7,3,0,0,0,0,10,0,0,0,9,12,6,4,0,0,30,0,0,0,5,4,9,0,0,0,22,36,19,9,13,28,24,0,0,0,136,42,19,12,9,4,8,0,0,0,94,0,0,5,3,4,3,0,0,0,19,0,6,0,0,6,5,0,0,0,19,3,4,9,4,24,11,0,0,0,55,0,0,5,7,14,13,9,0,0,47,0,21,23,42,57,26,14,5,0,189,0,0,5,13,12,8,0,0,0,40,0,5,6,7,22,13,3,0,0,61,14,13,15,32,70,59,14,3,0,223,7,31,27,62,119,81,18,7,0,350,3,7,0,0,13,3,0,0,0,34,7,9,0,8,7,5,7,5,0,38
POA6016,130,200,705,863,667,383,99,17,0,3066,0,0,0,3,0,0,0,0,0,8,0,3,36,65,31,8,3,0,0,147,8,4,15,18,7,8,0,0,0,71,0,0,10,17,9,4,0,0,0,36,6,5,22,22,17,7,0,0,0,75,0,0,9,11,14,0,0,0,0,45,38,47,51,40,28,20,0,0,0,222,49,51,63,26,18,9,3,0,0,218,0,0,9,12,7,0,0,0,0,31,0,4,6,15,3,5,0,0,0,34,0,4,18,39,30,6,6,0,0,102,0,5,7,16,6,5,0,0,0,43,0,15,81,100,71,34,3,0,0,304,0,22,60,35,12,5,7,0,0,142,0,10,34,54,49,39,3,0,0,192,10,20,62,86,124,85,19,0,0,396,9,58,250,202,141,92,28,0,0,786,13,8,19,17,9,4,4,0,0,68,3,6,33,30,24,7,4,0,0,102
