POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA3003,3812,3626,7440,1821,1445,3269,750,918,1673,148,169,319,166,190,357,2889,2726,5617,715,708,1427,5.7,6.9,6.3,75.9,75.1,75.5,71.5,69.9,70.7,663,744,1407,96,148,244,1283,1256,2539,312,298,613,259,174,437,16,19,37,27,40,71,306,237,539,2048,2071,4123,1662,1615,3276,730,733,1458,2875,2866,5745
POA3004,5262,5408,10672,2679,2089,4759,756,1072,1825,167,184,348,183,169,349,3783,3507,7283,963,1401,2359,4.8,4.7,4.8,71.8,64.8,68.3,68.4,61.7,65,936,998,1928,140,265,405,1641,1726,3366,474,552,1027,406,205,612,18,33,48,79,78,155,506,319,823,3501,3628,7127,1579,1629,3208,1464,1596,3063,3462,3502,6967
POA3006,10802,10538,21338,5694,4339,10029,2090,2532,4626,453,499,955,460,495,952,8700,7865,16566,1480,2077,3553,5.3,6.3,5.8,80.5,74.6,77.6,76.3,69.9,73.2,2168,2201,4372,303,406,701,3641,3859,7503,1049,966,2009,729,434,1165,49,38,82,77,109,192,856,579,1437,6030,5917,11946,4753,4604,9359,2043,2118,4156,8447,8138,16579
POA3008,7413,6874,14283,3892,2583,6468,1042,1325,2372,292,303,598,323,379,706,5553,4592,10140,1193,1645,2842,5.8,8.3,6.9,74.9,66.8,71,70.6,61.2,66.1,1329,1376,2709,183,219,402,2587,2338,4924,613,627,1237,501,278,783,31,35,67,75,65,141,605,383,990,4193,3891,8083,3061,2825,5885,1342,1315,2654,5640,5152,10790
POA3011,9949,9593,19546,4530,3371,7904,1769,2387,4157,381,475,851,457,362,827,7138,6601,13737,2083,2413,4492,6.4,5.5,6,71.7,68.8,70.3,67.1,65,66.1,1223,1322,2549,318,543,859,2615,2707,5317,866,801,1663,1018,611,1629,77,66,141,96,109,208,1194,793,1981,7878,7538,15410,2580,2611,5191,4294,4188,8481,5672,5499,11168
POA3012,11184,11256,22444,5297,3867,9165,1804,2676,4476,401,561,965,497,401,907,8005,7507,15508,2438,3097,5536,6.3,5.4,5.8,71.6,66.7,69.1,67.1,63.1,65.1,1193,1245,2440,287,566,852,2592,2906,5496,966,1067,2036,1465,789,2254,82,91,169,118,152,268,1666,1024,2692,10294,10351,20649,2331,2287,4612,6177,6445,12621,5738,5506,11250
POA3013,6077,6569,12644,3365,2518,5882,859,1713,2566,206,343,550,197,159,361,4633,4722,9357,1213,1620,2827,4.3,3.4,3.8,76.3,71.9,74,73,69.5,71.2,646,807,1457,194,390,586,1656,2006,3660,528,612,1140,862,420,1282,46,44,83,77,98,175,975,557,1536,6034,6406,12446,1178,1254,2435,4021,4309,8324,2773,2963,5736
POA3015,7091,7524,14620,3889,2747,6638,978,1942,2920,240,382,622,251,189,440,5364,5261,10625,1431,1983,3411,4.7,3.6,4.1,75.6,69.9,72.7,72.1,67.4,69.7,649,823,1471,221,460,679,1797,2216,4018,673,771,1441,1189,491,1679,48,57,101,96,112,207,1333,655,1988,7289,7654,14945,1377,1410,2791,4752,5013,9768,3278,3448,6728
POA3016,6408,6807,13216,3045,1975,5016,918,1816,2739,205,295,505,223,177,402,4394,4270,8658,1806,2291,4103,5.1,4.1,4.6,68.6,62.7,65.5,65,60.1,62.5,678,771,1448,222,425,643,1600,1795,3395,641,697,1343,954,375,1334,35,56,93,73,126,201,1064,565,1626,6538,6644,13187,1034,1117,2153,4532,4607,9138,2748,2917,5664
POA3018,5267,5906,11172,2548,1734,4285,641,1354,1987,166,264,437,137,151,286,3495,3504,6997,1515,2150,3666,4,4.2,4.1,66.4,59.3,62.6,63.7,56.8,60.1,383,471,852,126,282,411,973,1320,2298,499,614,1107,1152,462,1618,28,46,73,86,111,196,1266,620,1887,5220,5726,10950,862,964,1824,3447,3778,7232,2315,2612,4927
POA3019,4105,4064,8171,1492,967,2455,724,788,1508,171,201,371,221,207,432,2608,2163,4772,1161,1632,2795,8.4,9.7,9,63.5,53.2,58.4,58.2,48,53.1,375,256,632,46,81,124,715,741,1457,304,329,637,396,284,677,36,44,73,53,78,131,487,407,887,3768,3741,7511,767,676,1443,2274,2485,4750,2013,1724,3731
POA3020,18838,18282,37114,6937,3975,10913,2953,3625,6582,685,724,1407,952,739,1691,11526,9067,20596,5914,8029,13944,8.2,8.2,8.2,61.2,49.6,55.5,56.1,45.6,50.9,1101,896,1995,206,422,633,2690,2925,5617,1353,1490,2848,2510,1404,3915,152,190,340,237,274,515,2896,1868,4770,18144,17947,36093,2716,2365,5081,12179,12534,24711,7586,6715,14303
POA3021,22786,22968,45758,7090,3898,10991,3330,4311,7644,835,786,1617,1210,1122,2332,12465,10118,22588,8218,10892,19113,9.7,11.1,10.3,54.7,44.1,49.4,49.4,39.2,44.3,838,765,1610,144,297,446,2384,2729,5117,1580,1844,3422,3101,1821,4922,190,257,443,274,358,635,3563,2440,6002,22033,22208,44238,3026,2892,5916,15286,15874,31164,8454,7969,16424
POA3022,1345,1282,2625,498,300,805,203,251,448,50,53,105,72,68,140,825,671,1495,360,498,858,8.4,10.4,9.3,61.2,52.3,56.9,56.1,46.9,51.6,74,71,150,15,37,50,187,194,376,104,117,216,212,120,334,16,19,35,19,22,39,246,165,408,1200,1208,2410,215,199,409,759,784,1540,576,528,1108
POA3023,26730,26139,52875,11164,6672,17835,3612,6074,9681,961,1189,2148,1167,1076,2240,16903,15007,31907,8498,9874,18375,6.9,7.2,7,63.2,57.4,60.4,58.9,53.3,56.1,1242,1291,2539,291,598,891,3851,4980,8830,2097,2574,4671,3973,2272,6242,207,288,487,369,485,847,4542,3041,7579,27427,27999,55429,2925,2944,5872,19366,20030,39394,9226,9349,18573
POA3024,12203,12622,24825,6494,3647,10139,1633,2962,4595,479,552,1035,535,639,1173,9145,7804,16946,2411,4166,6582,5.9,8.2,6.9,74.9,61.8,68.3,70.5,56.8,63.5,1239,1177,2417,183,333,517,2066,2315,4380,1068,1477,2542,2205,1589,3799,113,140,255,148,201,349,2469,1934,4398,12708,12872,25580,3090,3145,6234,6487,6521,13010,7851,8181,16032
POA3025,4945,5398,10339,2149,1352,3501,595,989,1576,175,227,399,187,154,340,3103,2719,5824,1504,2327,3833,6,5.7,5.9,62.8,50.4,56.3,59,47.5,53,250,287,536,84,191,276,743,1004,1753,371,488,857,893,368,1252,35,56,90,60,69,129,982,488,1471,4857,5285,10145,896,898,1800,3201,3589,6785,2139,2212,4352
POA3026,3192,3136,6330,1580,944,2522,457,786,1243,129,147,274,137,110,249,2307,1985,4292,691,994,1686,6.1,5.5,5.8,72.3,63.2,67.8,67.9,59.7,63.9,172,146,329,33,80,107,543,693,1233,297,337,638,469,262,731,27,34,57,41,54,97,532,348,886,3796,3778,7572,365,331,697,2702,2703,5405,1151,1113,2264
POA3027,3747,3403,7150,2006,1200,3201,631,828,1458,166,151,317,163,149,308,2966,2325,5287,562,892,1452,5.4,6.4,5.9,79,68.3,73.9,74.8,63.9,69.6,710,604,1309,74,93,168,956,1028,1984,371,336,704,369,201,568,19,22,39,32,41,72,423,255,681,3689,3463,7158,915,761,1676,1816,1665,3483,2408,2231,4639
POA3028,11459,11911,23368,5003,3037,8042,1545,2738,4280,447,522,968,486,433,916,7475,6732,14205,3283,4585,7871,6.5,6.4,6.4,65.2,56.5,60.8,61,52.9,56.9,703,677,1380,155,367,522,1512,1994,3507,956,1248,2204,2391,1196,3582,84,123,209,137,222,353,2612,1537,4144,11456,11807,23263,1554,1617,3175,8173,8569,16742,4046,4188,8233
POA3029,49143,46759,95904,22793,12553,35346,8196,10991,19190,2138,2055,4192,2217,2342,4556,35347,27930,63279,10680,15971,26649,6.3,8.4,7.2,71.9,59.7,66,67.4,54.7,61.2,5836,5127,10962,702,1236,1944,8512,9975,18492,5399,5121,10522,7046,4087,11132,323,412,734,564,752,1314,7933,5250,13184,49090,48078,97169,11711,10778,22491,25636,25831,51468,29905,28108,58019
POA3030,44344,45997,90342,22819,13288,36105,5976,10955,16935,1576,2059,3638,1860,2033,3895,32230,28336,60565,9681,15264,24949,5.8,7.2,6.4,72.7,61.6,67,68.5,57.2,62.7,4660,4380,9040,743,1426,2161,7938,9579,17514,3989,4953,8947,7588,4430,12020,334,469,801,551,749,1302,8469,5653,14124,46384,47042,93425,9109,9388,18497,24861,25255,50112,26605,27269,53871
POA3031,7255,7957,15209,3500,2984,6484,1187,1898,3088,250,361,611,328,241,572,5269,5487,10756,1600,2024,3631,6.3,4.4,5.3,72.6,69,70.7,68.1,65.9,67,1044,1304,2343,238,479,719,2147,2376,4525,552,640,1190,647,413,1061,36,45,85,64,81,143,744,537,1282,6268,6804,13069,1691,1821,3518,3752,4187,7935,3808,4026,7830
POA3032,12406,12888,25290,6064,4498,10561,2035,3150,5184,498,585,1085,466,418,887,9066,8651,17718,2758,3627,6387,5.1,4.8,5,73.1,67.1,70.1,69.3,63.9,66.6,1471,1573,3045,354,659,1013,3300,3647,6944,1080,1224,2305,1454,818,2275,88,102,187,171,224,397,1715,1145,2860,11373,11524,22895,2577,2651,5231,7089,7354,14441,6161,6194,12351
POA3033,5959,6476,12435,2690,1570,4253,708,1545,2253,203,267,476,182,147,332,3782,3531,7313,1952,2703,4654,4.7,4.3,4.5,63.4,54.6,58.8,60.4,52.2,56.2,294,320,614,119,207,333,998,1289,2287,527,612,1134,1215,500,1715,27,58,86,83,144,222,1322,701,2026,6269,6751,13023,700,670,1370,4583,4971,9561,2034,2127,4160
POA3034,4994,5418,10411,2038,1220,3255,601,1103,1700,176,235,410,182,129,303,2992,2682,5671,1799,2542,4340,5.9,4.7,5.4,59.9,49.5,54.5,56.4,47.2,51.6,275,246,525,75,146,219,885,1043,1933,381,464,841,852,393,1243,24,50,75,78,111,188,946,558,1505,5156,5533,10684,575,572,1146,3693,3985,7679,1745,1837,3580
POA3036,2404,2626,5023,1117,646,1759,301,695,998,73,114,190,66,46,109,1560,1502,3058,777,1030,1805,4.2,3.1,3.6,64.8,57.3,60.9,62.1,55.5,58.7,93,117,206,40,94,140,388,514,903,210,254,464,607,204,813,18,24,44,36,60,94,660,288,952,2637,2702,5337,189,215,402,2038,2157,4193,653,671,1324
POA3037,20189,20916,41108,9746,5619,15368,2880,5384,8264,780,967,1750,898,827,1723,14300,12798,27102,5035,7299,12330,6.3,6.4,6.4,70.8,61.2,65.9,66.4,57.2,61.7,812,928,1734,226,530,757,2770,3644,6416,1727,2191,3918,4110,2093,6201,155,234,390,304,469,774,4572,2795,7367,22356,22895,45252,1933,1888,3824,16690,17195,33882,6341,6422,12765
POA3038,11216,11613,22827,4976,2772,7748,1543,2939,4479,403,508,915,423,331,756,7346,6549,13899,3430,4641,8067,5.8,5.1,5.4,65.5,56.4,60.9,61.8,53.5,57.6,413,426,846,142,297,436,1557,1900,3461,911,1134,2040,2354,995,3348,78,157,230,183,282,470,2611,1435,4045,11800,12080,23884,830,857,1692,9729,9956,19685,2413,2531,4941
POA3039,6687,7290,13976,3431,2571,6000,1059,1827,2881,224,327,553,211,169,377,4925,4886,9808,1519,2175,3690,4.3,3.4,3.9,73.6,67,70.2,70.5,64.7,67.5,789,899,1688,243,479,728,1834,2056,3890,604,731,1330,860,388,1248,37,53,93,72,116,185,964,555,1521,6062,6545,12609,1418,1556,2979,3823,4148,7969,3336,3643,6984
POA3040,10864,11767,22629,5400,3763,9165,1712,3155,4870,397,554,955,378,270,653,7889,7743,15634,2572,3611,6180,4.8,3.5,4.2,72.7,65.8,69.1,69.1,63.5,66.2,1038,1161,2205,381,600,977,2746,3230,5976,1058,1247,2308,1552,695,2249,56,102,154,139,212,343,1743,1006,2747,10619,11199,21815,1848,1967,3812,7091,7617,14710,4905,5116,10019
POA3041,5222,5560,10781,2605,1603,4213,762,1587,2346,194,248,447,172,147,318,3733,3590,7322,1334,1807,3135,4.6,4.1,4.4,71.5,64.6,67.9,68.2,61.9,65,433,418,851,141,260,400,1146,1358,2508,525,598,1120,916,371,1287,30,57,90,66,120,185,1017,544,1566,5418,5596,11011,798,862,1655,3783,3873,7653,2186,2346,4534
POA3042,6659,7206,13866,3260,2041,5297,858,1766,2628,241,363,606,229,170,403,4588,4342,8931,1822,2592,4416,5,4,4.5,68.9,60.3,64.4,65.4,57.9,61.5,328,402,738,100,281,377,1027,1448,2478,612,786,1395,1587,591,2182,59,67,122,82,156,232,1724,810,2531,6792,7202,13988,970,1043,2012,4610,5024,9632,2732,2838,5574
POA3043,7340,7579,14920,3106,1835,4938,899,1621,2520,254,319,572,304,228,535,4557,4003,8564,2434,3227,5664,6.7,5.7,6.2,62.1,52.8,57.4,58,49.8,53.8,227,282,511,67,180,251,842,1138,1979,627,775,1402,1664,734,2404,66,111,173,104,174,277,1833,1017,2851,7419,7715,15137,964,859,1825,5348,5640,10994,2593,2529,5122
POA3044,11321,12275,23595,5703,3750,9449,1694,3225,4918,419,609,1026,388,313,709,8203,7898,16101,2654,3875,6523,4.8,4,4.4,72.5,64.4,68.2,69,61.8,65.2,970,1174,2144,276,612,886,2510,3082,5589,1075,1223,2296,1906,831,2736,66,101,167,154,203,353,2113,1133,3251,11290,12079,23366,1855,2044,3895,7452,8040,15488,5037,5409,10446
POA3045,39,15,55,4,0,4,3,0,3,0,0,0,0,0,0,9,0,9,0,3,4,16.7,0,16.7,15.4,0,10.9,12.8,0,9.1,0,0,0,0,0,0,6,0,6,0,0,0,3,0,3,0,0,0,0,0,0,3,0,6,4,0,0,6,5,13,4,0,0,7,3,12
POA3046,14953,15354,30306,6452,4034,10489,2467,3399,5860,503,677,1181,556,483,1042,9981,8596,18574,3945,5816,9761,5.6,5.6,5.6,66.8,56,61.3,63,52.8,57.9,1387,1293,2676,270,538,811,2680,3125,5806,1310,1589,2904,2337,1131,3470,69,148,214,173,262,436,2581,1538,4119,13920,14353,28274,2932,2767,5703,8371,9027,17401,7393,7088,14479
POA3047,8806,8058,16866,2274,1037,3318,1429,1236,2670,337,209,550,543,405,951,4587,2896,7486,3335,4405,7746,11.9,14.1,12.7,52.1,36,44.4,45.9,30.9,38.7,523,350,878,70,119,189,937,885,1828,596,663,1263,984,666,1657,85,87,172,94,103,196,1165,858,2022,8455,8028,16485,1385,1172,2556,5438,5385,10822,3747,3212,6958
POA3048,6979,7285,14261,1916,948,2869,925,1030,1956,274,216,488,420,318,737,3533,2509,6047,2902,4220,7130,11.9,12.5,12.2,50.7,34.5,42.4,44.7,30.1,37.2,249,177,427,48,143,187,627,678,1301,395,615,1015,864,598,1464,72,80,156,86,116,205,1023,795,1824,7496,7703,15199,725,711,1440,5294,5555,10850,2408,2358,4764
POA3049,3917,4245,8156,1770,1029,2805,492,1051,1548,172,187,352,152,171,323,2591,2439,5034,1140,1592,2726,6,7,6.5,66.2,57.5,61.7,62.3,53.5,57.7,103,127,231,38,125,161,391,601,994,364,478,838,971,476,1447,24,42,67,60,96,159,1048,620,1667,4111,4326,8435,394,440,836,2993,3115,6115,1272,1431,2704
POA3051,6396,6821,13220,2712,2327,5039,1153,1623,2777,245,268,507,317,314,628,4429,4519,8949,1431,1714,3148,7.1,6.9,7,69.2,66.3,67.7,64.3,61.7,63,1196,1300,2495,185,311,499,1904,2045,3948,421,513,928,400,303,706,25,38,62,43,64,103,468,403,868,4507,4621,9128,2102,2302,4400,2146,2293,4437,4237,4414,8649
POA3052,3209,3600,6810,1025,814,1840,749,989,1736,157,243,397,198,247,441,2132,2291,4421,886,1095,1985,9.3,10.7,10,66.4,63.6,64.9,60.3,56.7,58.4,622,599,1224,57,111,173,822,857,1680,166,177,343,154,121,277,19,23,47,22,31,54,196,177,369,2043,2091,4135,1184,1469,2653,821,862,1680,2332,2639,4973
POA3053,7384,7792,15177,2303,1988,4295,1576,1951,3529,317,368,683,558,537,1096,4751,4847,9596,2158,2479,4637,11.8,11.1,11.4,64.3,62.2,63.2,56.7,55.3,56,1376,1500,2874,138,230,365,2321,2445,4765,466,540,1005,374,276,648,42,41,83,43,69,114,457,388,848,4079,4286,8365,3237,3392,6626,1733,1877,3612,5412,5629,11043
POA3054,3381,3909,7293,1619,1466,3087,671,1033,1705,128,212,344,103,113,215,2524,2821,5345,731,955,1689,4,3.9,4,74.6,72.2,73.3,71.6,69.3,70.4,672,802,1474,132,247,383,1207,1440,2646,242,254,503,233,142,376,8,21,27,14,39,54,258,208,459,2718,2991,5701,939,1172,2103,1636,1805,3446,1882,2237,4118
POA3055,6059,6805,12865,2842,2442,5283,1180,1819,2999,250,324,577,229,202,432,4510,4787,9295,1328,1756,3088,5.1,4.2,4.6,74.3,70.3,72.2,70.5,67.4,68.9,830,1050,1880,230,410,642,1650,2040,3687,493,599,1089,730,432,1158,32,51,83,65,89,156,830,570,1397,5229,5699,10923,1446,1687,3132,3139,3444,6580,3236,3645,6883
POA3056,10746,11615,22359,5238,4516,9753,2049,3112,5163,429,531,957,449,334,786,8165,8497,16665,2180,2752,4929,5.5,4,4.7,76,73.1,74.5,71.8,70.2,71,1662,2234,3895,392,777,1172,3396,3926,7322,856,829,1679,1016,501,1509,50,63,113,105,103,204,1168,665,1834,8635,8978,17614,2903,3365,6265,4839,5189,10027,6276,6787,13059
POA3057,5564,6451,12011,2971,2874,5842,999,1578,2582,213,308,514,216,184,396,4397,4943,9337,931,1256,2187,4.9,3.7,4.3,79.1,76.6,77.8,75.2,73.8,74.4,879,1298,2181,205,448,656,1868,2277,4142,449,479,931,523,294,821,17,30,54,55,72,127,600,398,999,4221,4753,8973,1679,1997,3671,2029,2355,4385,3665,4197,7862
POA3058,14136,15236,29370,6352,4530,10887,2482,4150,6628,523,755,1275,597,403,995,9953,9833,19788,3565,4787,8353,6,4.1,5,70.4,64.5,67.4,66.2,61.9,64,1499,1976,3484,451,871,1326,3299,3833,7124,1238,1416,2653,1852,896,2751,78,105,185,170,194,359,2102,1196,3295,13681,14516,28203,2479,2604,5081,9064,9946,19008,6280,6396,12673
POA3059,8280,8473,16750,4054,2238,6289,1128,2230,3357,336,433,770,345,309,657,5868,5207,11072,2117,2985,5102,5.9,5.9,5.9,70.9,61.4,66.1,66.7,57.8,62.2,385,394,782,96,224,320,1205,1659,2857,805,981,1785,1644,786,2431,61,87,149,118,166,284,1823,1042,2862,8871,8914,17791,1272,1339,2615,5753,5753,11511,3708,3922,7633
POA3060,5742,5506,11247,2046,1017,3057,1011,1105,2115,235,231,464,279,200,484,3579,2544,6122,1758,2613,4375,7.8,7.9,7.9,62.3,46.2,54.4,57.4,42.6,50.2,592,374,965,81,150,228,905,937,1842,418,454,875,830,359,1188,27,48,78,59,90,150,914,497,1415,5761,5631,11391,989,837,1829,3695,3747,7451,2586,2271,4864
POA3061,2080,1900,3988,551,232,785,244,286,530,85,52,141,124,72,198,1004,645,1646,894,1127,2026,12.2,11.4,11.9,48.2,33.8,41.4,42.3,30,36.4,45,46,91,16,25,37,163,155,316,110,188,296,285,115,404,22,19,37,21,28,49,330,167,495,2171,2089,4265,199,146,341,1635,1615,3257,587,480,1067
POA3062,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,6
POA3063,232,246,475,105,72,179,29,66,86,8,12,21,9,11,11,144,154,297,71,77,141,4.8,4.6,4.7,63.4,62.7,63,60.3,59.8,60.1,3,8,12,3,5,11,15,31,51,13,27,42,76,27,103,0,0,0,5,10,8,78,36,118,250,256,506,10,6,18,196,204,400,58,55,110
POA3064,42131,42751,84878,18798,9917,28722,6564,9540,16104,1555,1785,3346,2084,2003,4090,29011,23249,52255,10759,17264,28019,7.2,8.6,7.8,68.9,54.4,61.6,63.9,49.7,56.8,2725,2902,5630,423,1056,1471,5683,7112,12795,4436,4720,9158,6576,4316,10897,394,476,873,535,751,1284,7504,5543,13053,44293,43983,88278,9438,9438,18881,22465,22592,45058,26744,26667,53416
POA3065,4540,4824,9362,2206,1882,4092,715,1008,1717,170,207,372,156,134,292,3250,3229,6479,909,1230,2134,4.9,4.1,4.5,71.5,67,69.2,68,64.2,66.1,762,828,1587,152,251,404,1472,1594,3063,299,355,655,304,206,511,30,39,62,37,54,86,366,293,659,3355,3543,6897,1220,1342,2561,1903,1989,3893,2496,2726,5220
POA3066,4246,4037,8284,2319,1805,4128,626,803,1427,152,184,337,172,136,302,3272,2929,6194,681,859,1537,5.3,4.5,4.9,77.1,72.5,74.8,73,69.2,71.2,648,674,1324,138,185,328,1411,1407,2823,332,316,647,337,241,578,33,30,61,30,48,81,408,322,728,2962,2910,5868,1362,1231,2594,1423,1427,2849,2768,2572,5343
POA3067,4276,4087,8362,2425,1885,4307,670,888,1564,141,215,356,141,121,257,3376,3107,6480,630,774,1403,4.1,3.8,4,79,76,77.5,75.7,73.1,74.5,632,747,1377,170,215,383,1547,1459,3004,335,371,707,357,204,560,24,31,55,35,43,77,416,276,691,2887,2812,5700,1424,1361,2778,1365,1375,2736,2817,2684,5510
POA3068,7819,8952,16765,3975,3432,7404,1287,2296,3581,254,374,627,228,198,425,5746,6299,12042,1758,2332,4086,4,3.1,3.5,73.5,70.4,71.8,70.6,68.1,69.3,1439,1814,3253,383,652,1039,2704,3161,5861,506,643,1151,593,310,899,35,54,82,58,74,131,682,431,1115,6864,7598,14467,1832,2164,3992,4187,4685,8877,4104,4725,8828
POA3070,10065,11429,21495,4941,4183,9125,1783,3139,4922,332,540,873,344,277,622,7398,8144,15541,2305,2891,5197,4.6,3.5,4,73.5,71.3,72.3,70.1,68.8,69.4,1460,2102,3556,453,865,1313,3120,3673,6799,699,908,1608,946,461,1408,50,56,105,99,106,204,1097,626,1719,9328,10343,19676,2116,2447,4565,6106,6828,12932,4848,5463,10308
POA3071,7615,8584,16200,3660,2900,6553,1327,2422,3747,301,398,702,287,250,537,5573,5960,11534,1725,2253,3977,5.2,4.2,4.6,73.2,69.4,71.2,69.4,66.6,67.9,846,1232,2072,296,600,894,2090,2540,4631,591,761,1352,929,472,1404,44,50,94,83,96,181,1058,621,1676,7183,7808,14987,1490,1738,3230,4558,5044,9599,3665,4070,7734
POA3072,13797,14930,28727,6163,4596,10756,2366,3934,6304,549,679,1234,577,488,1058,9656,9698,19357,3518,4624,8142,6,5,5.5,70,65,67.4,65.8,61.7,63.7,1263,1632,2901,380,790,1173,3263,3860,7122,1278,1437,2713,1800,990,2787,97,133,232,139,208,347,2038,1330,3367,12978,13721,26702,2574,2787,5364,8332,8966,17292,6486,6834,13324
POA3073,21121,22026,43146,8640,5663,14308,3228,5085,8314,802,969,1773,869,658,1527,13539,12375,25921,6184,8293,14476,6.4,5.3,5.9,64.1,56.2,60.1,60,53.2,56.5,1630,1728,3358,367,818,1184,3598,4312,7912,1832,2137,3966,3356,1811,5170,144,199,340,270,352,619,3774,2359,6129,19977,20695,40671,3504,3431,6929,13090,13989,27077,9032,8929,17958
POA3074,8527,8562,17085,2887,1534,4422,1244,1623,2869,270,280,546,373,307,681,4774,3747,8516,3296,4418,7712,7.8,8.2,8,56,43.7,49.9,51.6,40.1,45.9,433,428,854,62,136,196,896,969,1861,587,710,1296,1343,692,2031,59,88,149,92,161,247,1486,938,2433,8516,8615,17134,1066,930,1994,6052,6328,12381,3026,2779,5807
POA3075,9420,9544,18957,3344,1823,5171,1353,1866,3219,318,341,659,410,325,733,5424,4356,9779,3436,4666,8094,7.5,7.5,7.5,57.6,45.6,51.6,53.2,42.2,47.7,426,451,878,82,187,265,1069,1267,2339,702,848,1554,1400,788,2192,60,100,163,117,154,276,1578,1046,2623,9692,9808,19495,1157,1105,2264,6777,6945,13721,3452,3336,6778
POA3076,13086,13431,26518,5763,3198,8962,1883,3201,5089,463,530,993,592,460,1053,8705,7381,16090,3469,5030,8498,6.8,6.2,6.5,66.5,55,60.7,62,51.6,56.7,765,730,1490,158,308,464,1574,2099,3671,1206,1477,2678,2326,1354,3682,110,145,259,162,260,420,2602,1758,4361,13676,13745,27417,1822,1778,3598,9309,9414,18726,5217,5209,10431
POA3078,4937,5426,10361,2356,1854,4213,830,1538,2367,175,252,429,151,133,289,3514,3783,7296,1188,1453,2640,4.3,3.6,3.9,71.2,69.8,70.4,68.1,67.3,67.7,683,879,1563,240,431,671,1424,1719,3146,375,451,829,506,229,734,30,33,64,42,66,108,573,324,899,4603,4881,9482,995,1202,2195,3025,3197,6228,2329,2623,4952
POA3079,6825,7626,14453,3370,2268,5636,1086,2083,3169,191,314,501,182,164,344,4833,4818,9648,1777,2574,4353,3.8,3.4,3.6,70.8,63.2,66.8,68.1,61.1,64.4,1030,1067,2104,248,501,751,2048,2343,4390,587,700,1280,684,348,1036,31,45,70,79,127,206,789,521,1311,6737,7409,14145,1042,1225,2271,4518,4971,9490,2967,3348,6321
POA3081,5724,5924,11649,2304,1604,3911,877,1430,2309,231,279,512,276,192,470,3693,3508,7202,1642,2095,3731,7.5,5.6,6.6,64.6,59.2,61.8,59.7,55.9,57.8,506,566,1072,122,272,399,1071,1376,2454,488,552,1033,852,477,1328,50,69,119,76,88,164,982,635,1611,5377,5515,10884,1010,1113,2124,3228,3439,6670,2745,2818,5559
